Date,HiveID,ZipCode,BeeCount,BroodCount,HoneyCount
04/02/2011,2088,02822,6,0,3
04/02/2011,1862,01742,6,0,5
04/05/2011,1891,01741,,,
04/07/2012,30,02116,28,18,0
04/16/2012,33,02118,20,18,8
04/16/2012,51,02537,20,0,0
04/16/2012,52,02537,20,0,0
04/16/2012,53,02537,20,0,0
04/16/2012,53,02537,,,
04/16/2012,54,02537,20,0,0
04/16/2012,55,02537,20,0,0
04/16/2012,56,02537,20,0,0
04/17/2012,65,02115,20,0,0
04/17/2012,39,02420,38,23,18
04/19/2012,45,02144,20,0,0
04/19/2012,27,02155,20,0,0
04/19/2012,28,02139,20,0,0
04/19/2012,51,02537,8,0,0
04/19/2012,52,02537,8,0,0
04/19/2012,53,02537,4,0,0
04/19/2012,54,02537,10,0,0
04/19/2012,55,02537,8,0,0
04/19/2012,56,02537,8,0,0
04/20/2012,69,02657,7,1,26
04/21/2012,77,02666,0,0,0
04/21/2012,78,02666,4,0,0
04/21/2012,79,02666,0,0,0
04/21/2012,80,02666,15,10,5
04/21/2012,81,02666,14,4,6
04/21/2012,82,02666,15,6,15
04/21/2012,76,02666,14,11,0
04/21/2012,73,02666,10,13,5
04/21/2012,74,02666,10,0,1
04/21/2012,75,02666,24,15,0
04/21/2012,71,02666,2,1,1
04/21/2012,69,02657,,,
04/21/2012,26,02657,7,4,0
04/23/2012,61,02138,2,0,0
04/23/2012,65,02115,7,0,0
04/23/2012,34,02140,18,0,0
04/24/2012,29,01984,30,14,17
04/24/2012,58,01778,18,0,0
04/24/2012,66,02130,18,0,0
04/25/2012,44,02476,18,0,0
04/25/2012,46,02138,20,0,0
04/25/2012,40,02420,18,0,0
04/26/2012,50,03833,18,0,0
04/27/2012,83,02130,0,0,0
04/29/2012,36,,3,2,9
04/29/2012,71,02666,18,0,0
04/29/2012,72,02666,18,0,0
04/29/2012,43,02657,18,0,0
04/29/2012,57,02657,18,0,0
05/04/2012,58,01778,6,2,0
05/07/2012,67,01930,,,
05/07/2012,44,02476,5,3,0
05/07/2012,39,02420,45,,
05/07/2012,40,02420,6,2,0
05/07/2012,34,02140,11,6,0
05/07/2012,45,02144,14,6,0
05/07/2012,27,02155,12,6,0
05/07/2012,28,02139,12,10,0
05/07/2012,46,02138,10,4,0
05/07/2012,61,02138,4,0,0
05/07/2012,47,02116,16,8,0
05/07/2012,48,02116,15,8,0
05/07/2012,49,02116,6,0,0
05/08/2012,84,02445,7,2,0
05/08/2012,83,02130,10,4,0
05/08/2012,66,02130,7,2,0
05/08/2012,35,02186,46,30,7
05/08/2012,41,02748,8,5,0
05/08/2012,42,02748,8,4,0
05/15/2012,68,01929,4,1,1
05/15/2012,30,02116,,,
05/16/2012,30,02116,,,
05/16/2012,50,03833,6,2,2
05/16/2012,37,01966,5,2,4
05/16/2012,29,01984,39,18,18
05/17/2012,61,02138,4,0,0
05/18/2012,62,01879,18,8,15
05/18/2012,63,01879,50,14,6
05/18/2012,64,01879,7,4,10
05/18/2012,65,02115,12,5,0
05/20/2012,66,02130,6,3,0
05/23/2012,26,02657,5,3,0
05/23/2012,43,02657,14,12,0
05/23/2012,87,02657,13,4,0
05/25/2012,69,02657,14,10,14
05/25/2012,77,02666,4,4,0
05/25/2012,78,02666,0,0,0
05/25/2012,79,02666,4,4,0
05/25/2012,80,02666,40,35,8
05/25/2012,81,02666,22,12,8
05/25/2012,82,02666,20,10,4
05/25/2012,36,,6,7,8
05/25/2012,57,02657,14,12,0
05/25/2012,26,02657,8,7,4
05/25/2012,51,02537,14,0,0
05/25/2012,52,02537,7,0,0
05/25/2012,53,02537,0,0,0
05/25/2012,54,02537,16,12,1
05/25/2012,55,02537,10,6,0
05/25/2012,56,02537,18,16,0
05/25/2012,91,02540,8,8,0
05/25/2012,92,02666,12,8,0
05/26/2012,88,02461,14,5,0
05/26/2012,89,02152,14,6,0
05/31/2012,37,01966,1,1,5
05/31/2012,67,01930,17,3,5
05/31/2012,68,01929,7,5,3
05/31/2012,29,01984,40,15,20
05/31/2012,30,02116,52,28,26
05/31/2012,33,02118,60,48,24
06/01/2012,58,01778,14,12,3
06/01/2012,39,02420,36,0,10
06/01/2012,40,02420,20,16,2
06/01/2012,44,02476,20,16,4
06/02/2012,61,02138,2,0,0
06/03/2012,61,02138,2,1,0
06/04/2012,37,01966,0,,
06/05/2012,77,02666,8,0,0
06/05/2012,79,02666,8,2,0
06/05/2012,80,02666,40,,
06/05/2012,81,02666,32,,
06/05/2012,82,02666,32,,
06/05/2012,73,02666,40,34,5
06/05/2012,74,02666,,,
06/05/2012,74,02666,6,6,0
06/05/2012,75,02666,28,14,0
06/05/2012,76,02666,40,28,3
06/05/2012,72,02666,20,14,0
06/05/2012,71,02666,20,15,0
06/05/2012,92,02666,24,14,0
06/05/2012,92,02666,,,
06/05/2012,26,02657,7,6,0
06/06/2012,45,02144,14,12,3
06/06/2012,28,02139,18,16,4
06/06/2012,61,02138,2,1,0
06/06/2012,46,02138,16,14,0
06/07/2012,47,02116,16,14,1
06/07/2012,48,02116,16,15,2
06/07/2012,49,02116,7,3,0
06/07/2012,41,02748,16,14,0
06/07/2012,42,02748,16,14,1
06/07/2012,88,02461,10,10,0
06/08/2012,38,02052,8,8,9
06/08/2012,90,02067,10,10,0
06/08/2012,94,02144,10,10,0
06/08/2012,66,02130,11,10,0
06/08/2012,83,02130,12,11,1
06/11/2012,84,02445,20,18,3
06/11/2012,89,02152,10,8,1
06/11/2012,37,01966,10,8,0
06/11/2012,68,01929,8,7,0
06/12/2012,61,02138,1,0,0
06/12/2012,34,02140,20,14,1
06/13/2012,87,02657,17,16,2
06/14/2012,26,02657,15,10,0
06/14/2012,57,02657,4,0,0
06/14/2012,36,,24,12,24
06/14/2012,52,02537,6,2,0
06/14/2012,51,02537,14,7,0
06/14/2012,54,02537,16,16,4
06/14/2012,53,02537,10,10,2
06/14/2012,55,02537,9,3,0
06/14/2012,56,02537,25,12,3
06/14/2012,94,02144,17,,
