Date,HiveID,ZipCode,BeeCount,BroodCount,HoneyCount
2013-08-28,196,01770,205,0,1
2015-08-05,288,02119,90,20,10
2014-09-15,207,02138,85,12,30
2012-06-29,33,02118,80,36,50
2012-07-15,73,02666,80,,
2012-11-03,73,02666,80,,
2014-07-22,112,02152,80,20,40
2014-08-02,299,02131,80,25,15
2014-09-25,397,02633,80,10,32
2014-11-05,477,02535,80,,20
2015-06-16,182,01772,80,40,36
2015-07-15,342,01772,80,20,60
2015-09-03,522,,80,30,60
2016-06-06,539,02459,80,0,50
2016-07-12,822,01742,80,30,40
2018-09-11,378,02130,80,25,30
2012-07-15,76,02666,76,,
2014-09-30,320,02072,76,10,12
2015-07-13,374,02535,75,25,15
2015-07-15,182,01772,75,30,30
2016-06-15,822,01742,75,32,26
2014-08-22,83,02130,74,48,26
2016-07-29,588,01772,73,26,22
2014-08-12,40,02420,72,40,30
2014-09-04,112,02152,72,10,24
2016-09-28,822,01742,72,15,25
2012-07-20,63,01879,70,20,30
2012-08-02,35,02186,70,38,39
2014-07-16,177,01890,70,?,20
2014-07-17,83,02130,70,56,24
2014-08-11,397,02633,70,10,16
2014-08-12,182,01772,70,12,12
2014-08-27,58,01778,70,30,40
2014-09-04,89,02152,70,12,20
2014-09-11,26,02657,70,12,10
2014-09-26,182,01772,70,10,30
2014-09-27,26,02657,70,,
2015-05-21,182,01772,70,20,8
2015-06-16,279,02142,70,25,20
2015-06-24,371,02134,70,20,12
2015-07-15,319,01772,70,30,30
2015-07-15,371,02134,70,30,30
2015-07-22,358,02052,70,30,20
2015-08-03,42,02748,70,40,20
2015-08-27,182,01772,70,12,24
2016-08-23,822,01742,70,20,30
2016-10-18,822,01742,70,12,34
2018-06-26,315,02465,70,14,10
2018-08-02,2201,02138,70,18,30
2018-08-17,378,02130,70,40,30
2015-07-28,233,02125,68,30,35
2014-06-30,376,01701,66,36,30
2014-07-07,89,02152,66,0,14
2014-07-22,89,02152,65,20,20
2014-08-11,376,01701,65,30,35
2014-09-27,307,02657,65,10,10
2014-10-03,207,02138,65,12,24
2014-11-04,307,02657,65,,15
2015-07-06,129,02657,65,5,30
2015-07-13,373,02535,65,10,20
2019-08-26,1321,02461,65,,
2014-07-23,222,01742,64,36,30
2014-08-12,217,02155,64,10,10
2015-08-05,415,02021,64,26,26
2017-10-27,569,02445,64,8,30
2019-08-26,1320,02461,64,0,12
2014-08-15,314,02025,62,42,20
