Date,HiveID,ZipCode,BeeCount,BroodCount,HoneyCount
2012-04-16,33,02118,20,18,8
2012-04-17,39,02420,38,23,18
2012-04-20,69,02657,7,1,26
2012-04-21,80,02666,15,10,5
2012-04-21,81,02666,14,4,6
2012-04-21,82,02666,15,6,15
2012-04-21,73,02666,10,13,5
2012-04-21,71,02666,2,1,1
2012-04-24,29,01984,30,14,17
2012-04-29,36,,3,2,9
2012-05-07,39,02420,45,,
2012-05-08,35,02186,46,30,7
2012-05-15,68,01929,4,1,1
2012-05-16,37,01966,5,2,4
2012-05-16,29,01984,39,18,18
2012-05-18,62,01879,18,8,15
2012-05-18,63,01879,50,14,6
2012-05-18,64,01879,7,4,10
2012-05-25,69,02657,14,10,14
2012-05-25,80,02666,40,35,8
2012-05-25,81,02666,22,12,8
2012-05-25,82,02666,20,10,4
2012-05-25,36,,6,7,8
2012-05-25,26,02657,8,7,4
2012-05-25,54,02537,16,12,1
2012-05-31,37,01966,1,1,5
2012-05-31,67,01930,17,3,5
2012-05-31,68,01929,7,5,3
2012-05-31,29,01984,40,15,20
2012-05-31,30,02116,52,28,26
2012-05-31,33,02118,60,48,24
2012-06-01,58,01778,14,12,3
2012-06-01,40,02420,20,16,2
2012-06-01,44,02476,20,16,4
2012-06-05,80,02666,40,,
2012-06-05,81,02666,32,,
2012-06-05,82,02666,32,,
2012-06-05,73,02666,40,34,5
2012-06-05,76,02666,40,28,3
2012-06-06,45,02144,14,12,3
2012-06-06,28,02139,18,16,4
2012-06-07,47,02116,16,14,1
2012-06-07,48,02116,16,15,2
2012-06-07,42,02748,16,14,1
2012-06-08,38,02052,8,8,9
2012-06-08,83,02130,12,11,1
2012-06-11,84,02445,20,18,3
2012-06-11,89,02152,10,8,1
2012-06-12,34,02140,20,14,1
2012-06-13,87,02657,17,16,2
2012-06-14,36,,24,12,24
2012-06-14,54,02537,16,16,4
2012-06-14,53,02537,10,10,2
2012-06-14,56,02537,25,12,3
2012-06-14,94,02144,17,,
2012-06-26,43,02657,40,14,14
2012-06-26,36,,35,14,14
2012-06-26,87,02657,24,12,6
2012-06-26,69,02657,42,20,12
2012-06-27,37,01966,20,15,5
2012-06-27,26,02657,18,10,4
2012-06-27,92,02666,40,28,14
2012-06-27,68,01929,20,2,17
2012-06-27,73,02666,60,36,24
2012-06-27,76,02666,60,26,14
2012-06-27,74,02666,7,4,2
2012-06-27,75,02666,40,14,22
2012-06-27,29,01984,10,1,30
2012-06-27,77,02666,10,1,3
2012-06-27,79,02666,12,2,2
2012-06-27,91,02540,40,22,17
2012-06-28,65,02115,40,30,24
2012-06-29,33,02118,80,36,50
2012-06-29,58,01778,16,7,5
2012-07-02,66,02130,40,8,5
2012-07-02,83,02130,40,34,18
2012-07-02,35,02186,60,22,22
2012-07-03,37,01966,22,20,1
2012-07-03,84,02445,40,22,21
2012-07-03,67,01930,20,2,17
2012-07-03,88,02461,25,14,3
2012-07-03,29,01984,25,10,30
2012-07-09,96,02652,10,8,2
2012-07-15,92,02666,20,32,13
2012-07-15,26,02657,22,7,8
2012-07-15,57,02657,3,1,1
2012-07-15,36,,60,20,5
2012-07-15,87,02657,55,16,7
2012-07-15,71,02666,60,,
2012-07-15,72,02666,60,,
2012-07-15,73,02666,80,,
2012-07-15,74,02666,9,3,1
